"Name","Sex","Region","HomeRange","NDVI","TuskLength","GroupSize"
"Lisa","Female","Wonga Wongue",239.32,0.726426024,0.09,2
"Rosa","Female","Wonga Wongue",184.35,0.769082057,1.14,7
"Kengue","Male","Wonga Wongue",478.93,0.773799357,1.47,4
"Mambo","Male","Wonga Wongue",279.69,0.761188701,0.3,1
"David","Male","Wonga Wongue",1291.67,0.795459763,1.57,4
"Mboumba","Male","Wonga Wongue",1454.34,0.76142364,2.04,3
"Mba","Male","Wonga Wongue",152.61,0.762715812,0.93,4
"Nana","Female","Wonga Wongue",168.54,0.784446442,0.68,2
"Ndeka","Female","Wonga Wongue",126.63,0.79793634,0.8,3
"Nze","Male","Wonga Wongue",505.67,NA,0.73,5
"Wongo","Male","Wonga Wongue",297.24,0.804002404,0.6,7
"Stam","Female","Wonga Wongue",179.76,0.755591357,0.49,5
"Junior","Male","Loango",64.7,0.83,0.58,3
"Ponogo","Female","Loango",41.2,0.849341239,0.37,7
"Larouille","Male","Ivindo",101.05,0.785607717,0.08,6
"Nongo","Female","Wonga Wongue",204.74,0.803562467,0.37,3
"Orembo","Male","Loango",329.86,0.808549464,0.74,2
"Tonda","Female","Loango",290.23,0.819430167,0.78,4
"BraBrou","Male","Wonga Wongue",227.24,0.761405363,0.44,9
"Malaika","Female","Wonga Wongue",349.33,0.809550855,0.81,3
"Boniface","Male","Loango",231.81,0.787640774,0.82,2
"Ekare","Male","Loango",39.71,0.793670707,0.29,1
"Marijo","Female","Ivindo",262.23,0.785007058,0.43,7
"Janice","Female","Ivindo",141.17,0.803213994,0.9,2
"Rose_Loango","Female","Loango",421.98,0.8089047,0.34,3
"Abu","Male","Loango",697.46,0.787763001,1.08,2
"Mpemba","Female","Loango",61.09,0.811854385,1.01,3
"Keva","Female","Loango",49.69,0.83,0.11,3
"Ta_a","Male","Ivindo",75.67,0.705259887,0.64,8
"Tonnere","Male","Wonga Wongue",800.6,0.813127618,1.34,2
"Kigali","Male","Wonga Wongue",237.1,0.807026539,0.76,3
"Onero","Male","Loango",89.94,0.820547106,0.4,2
"Izouwa","Female","Loango",41.15,0.780201852,0.5,3
"Nzamba","Male","Ivindo",256.6,0.780331946,1.23,6
"Annabelle_ww","Female","Wonga Wongue",16.78,0.807650617,0.07,2
"Ngele","Female","Wonga Wongue",23.45,0.786088158,0.41,12
"Moukalaba","Female","Moukalaba Doudou",152.03,0.78114326,0.36,2
"Dedi","Female","Moukalaba Doudou",103.97,0.759701389,0.88,2
"Penelope","Female","Moukalaba Doudou",377.7,0.782910406,0.73,2
"Megane","Female","Moukalaba Doudou",306.34,0.775368283,0.66,5
"Beti","Male","Wonga Wongue",300.54,0.741824278,0.85,1
"Stephanie","Female","Wonga Wongue",110.23,0.822014375,0.96,3
"Doudou","Female","Moukalaba Doudou",236.45,0.7743022,1.24,5
"Dumbo","Male","Loango",205.92,0.776620488,0.66,3
"Kalie","Male","Loango",119.24,0.800844811,0.47,2
"Program","Female","Moukalaba Doudou",333.53,0.803383636,0.52,5
"Estell","Female","Loango",279.7,0.800569744,0.69,2
"Amelia","Female","Ivindo",110.68,0.804859375,0.24,3
