"Station","agouti","armadillo_ninebanded","capuchin_whitefaced","coati","grison","jaguar","jaguarundi","margay","ocelot","opossum_common","opossum_foureyed","opossum_water","paca","peccary_collared","peccary_whitelipped","puma","raccoon","skunk_striped","tamandua","tapir","tayra"
"CT02",5,0,5,23,0,0,0,0,0,0,5,1,16,0,0,0,10,0,1,0,0
"CT03",1,0,3,39,1,0,0,0,0,3,5,0,24,2,0,1,0,4,2,0,0
"CT04",1,0,5,28,0,0,0,0,0,3,0,0,22,0,0,0,0,1,4,0,0
"CT06",45,12,0,11,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0
"CT07",154,1,0,9,0,0,0,0,1,1,1,0,11,0,0,0,1,0,2,1,0
"CT08",0,0,2,3,0,0,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0
"CT09",6,0,0,21,0,0,0,0,0,1,1,0,58,0,0,0,0,3,3,0,0
"CT10",82,4,0,7,0,0,1,0,0,3,2,0,7,1,0,0,2,0,2,0,1
"CT12",23,2,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"CT13",0,1,1,1,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0
"CT14",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0
"CT15",31,4,0,10,0,0,0,0,1,0,0,0,4,2,0,0,0,0,1,0,0
"CT16",24,4,0,9,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"CT17",230,3,0,2,0,0,0,0,0,0,6,0,15,3,0,0,0,0,1,0,0
"CT18",11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"CT19",80,1,0,4,0,0,0,0,0,15,0,0,2,0,0,1,0,0,0,0,1
"CT20",4,8,0,1,0,0,0,0,0,1,0,0,4,0,2,0,0,0,1,0,0
"CT21",108,3,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"CT22",44,0,0,4,0,1,0,1,0,2,0,0,3,5,0,0,0,1,1,0,1
"CT23",76,11,0,3,0,0,0,1,0,1,0,0,3,1,0,0,1,1,3,0,0
"CT24",186,8,0,21,0,0,0,1,0,0,0,0,6,2,0,1,0,1,0,0,9
"CT25",32,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"CT26",75,1,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,0,5
"CT28",91,0,0,1,0,0,0,0,0,2,3,0,32,23,71,0,2,1,3,0,0
"CT29",27,13,0,0,0,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,1
"CT31",15,1,0,1,0,0,0,0,0,1,0,0,27,1,0,0,0,0,1,0,0
"CT32",2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1
"CT33",2,9,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
"CT34",8,0,0,0,1,0,0,0,0,6,0,0,32,0,0,0,0,0,0,0,1
"CT35",9,0,0,5,0,0,0,0,5,6,0,0,0,4,0,4,1,0,1,0,4
"CT36",51,6,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,2,1,0,0
"CT38",41,3,0,2,0,0,0,0,2,0,0,0,2,0,21,0,1,0,0,0,0
"CT39",51,0,0,0,0,0,0,0,0,0,0,0,1,12,139,0,0,0,0,0,1
"CT40",16,0,0,2,0,0,0,1,0,2,0,0,6,1,1,0,0,0,0,0,0
"CT42",32,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,2,0,0
"CT43",2,1,0,0,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0
"CT44",48,1,0,6,0,0,0,0,2,2,0,0,39,2,0,0,0,0,0,0,0
"CT46",5,9,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"CT47",7,10,0,2,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1
"CT50",17,2,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
"CT52",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"CT53",0,0,0,0,0,0,0,0,0,0,1,0,27,0,1,0,2,0,0,0,0
"CT55",24,2,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"CT59",28,1,0,11,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,1,0
"CT60",36,0,0,9,0,0,0,0,3,4,0,0,0,1,0,5,0,0,0,0,1
"CT61",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CT62",31,1,0,5,0,0,0,0,1,1,0,0,7,4,2,0,0,0,4,0,0
"TCT01",75,0,0,2,0,0,0,0,1,2,0,0,2,0,0,7,0,0,0,0,0
"TCT02",63,2,0,6,1,0,0,0,0,1,0,0,0,0,0,5,0,2,1,0,0
"TCT03",8,0,0,10,0,0,0,0,4,5,0,0,1,0,1,1,1,0,0,0,1
"TCT04",162,0,0,8,0,1,0,0,0,1,0,0,1,0,0,8,1,5,1,2,4
"TCT05",140,13,0,2,0,0,0,0,1,5,0,0,23,0,0,8,0,0,2,0,2
"TCT06",73,0,0,3,0,0,0,0,0,3,0,0,0,16,0,1,0,0,0,0,0
"TCT07",154,1,0,6,0,0,0,0,0,0,1,0,11,0,0,0,0,0,2,1,0
"TCT08",8,0,0,20,0,0,0,1,3,6,0,0,1,2,0,6,1,0,13,0,0
"TCT09",57,0,1,3,1,0,0,0,0,0,0,0,9,0,0,0,2,1,0,0,1
